x,y,z
39,31,69.92602191
38,32,69.92424854
37,33,69.93093464
36,34,69.93351552
35,35,69.94479232
34,36,69.955877
46,25,70.982158
45,26,70.965722
44,27,70.95236692
43,28,70.94051896
42,29,70.93267683
41,30,70.92771958
40,31,70.92470255
39,32,70.92495212
38,33,70.92711359
37,34,70.93220943
36,35,70.93934215
35,36,70.9502657
34,37,70.965335
47,25,71.988009
46,26,71.968599
45,27,71.956736
44,28,71.94178592
43,29,71.93582031
42,30,71.92684281
41,31,71.92636745
40,32,71.92207582
39,33,71.92675229
38,34,71.92714051
37,35,71.93659461
36,36,71.94209241
35,37,71.958851
48,25,72.992807
47,26,72.974246
46,27,72.959238
45,28,72.94620668
44,29,72.93667438
43,30,72.92958258
42,31,72.92517468
41,32,72.92345895
40,33,72.92382909
39,34,72.92675488
38,35,72.93167344
37,36,72.93928919
36,37,72.95060451
35,38,72.9657
48,26,73.977821
47,27,73.963993
46,28,73.947718
45,29,73.93987486
44,30,73.92940726
43,31,73.92694573
42,32,73.92117776
41,33,73.9239286
40,34,73.92247593
39,35,73.92991028
38,36,73.93308402
37,37,73.94426587
36,38,73.95617
49,26,74.984219
48,27,74.967192
47,28,74.952506
46,29,74.94152382
45,30,74.93284024
44,31,74.92650448
43,32,74.92285837
42,33,74.92159456
41,34,74.92252287
40,35,74.92581057
39,36,74.93094574
38,37,74.9385732
37,38,74.94995277
36,39,74.96584
50,26,75.988631
49,27,75.972453
48,28,75.954707
47,29,75.94526897
46,30,75.93311496
45,31,75.92882762
44,32,75.92140273
43,33,75.92239201
42,34,75.9192137
41,35,75.92454157
40,36,75.92591074
39,37,75.93507303
38,38,75.94176276
37,39,75.958937
50,27,76.976479
49,28,76.959903
48,29,76.9475436
47,30,76.9368872
46,31,76.9291543
45,32,76.92354984
44,33,76.92064756
43,34,76.91991415
42,35,76.92137919
41,36,76.92467
40,37,76.9304016
39,38,76.93794545
38,39,76.950146
37,40,76.966076
51,27,77.983553
50,28,77.962555
49,29,77.95191652
48,30,77.9382892
47,31,77.93161085
46,32,77.92285291
45,33,77.92182777
44,34,77.91730924
43,35,77.92114586
42,36,77.92036634
41,37,77.92814187
40,38,77.93217998
39,39,77.94399
38,40,77.956146
51,28,78.969769
50,29,78.9544731
49,30,78.94263807
48,31,78.93285158
47,32,78.92535951
46,33,78.92094842
45,34,78.91849925
44,35,78.91833757
43,36,78.92008292
42,37,78.9239901
41,38,78.92970469
40,39,78.937946
39,40,78.94979
38,41,78.966022
52,28,79.975051
51,29,79.960623
50,30,79.94455293
49,31,79.93642077
48,32,79.92535077
47,33,79.92247444
46,34,79.91652176
45,35,79.91852978
44,36,79.91637794
43,37,79.92251644
42,38,79.92451754
41,39,79.93435475
40,40,79.941213
39,41,79.958754
53,28,80.982727
52,29,80.965743
51,30,80.95040262
50,31,80.93813384
49,32,80.92883294
48,33,80.92213229
47,34,80.91799302
46,35,80.9162882
45,36,80.9165897
44,37,80.9189939
43,38,80.92321139
42,39,80.92945428
41,40,80.938245
40,41,80.95023
39,42,80.966226
54,28,81.988492
53,29,81.972378
52,30,81.9545741
51,31,81.94317653
50,32,81.92977403
49,33,81.92473873
48,34,81.91669953
47,35,81.91680175
46,36,81.91348115
45,37,81.91820902
44,38,81.91839985
43,39,81.92693019
42,40,81.9317075
41,41,81.94438
40,42,81.956661
54,29,82.97811
53,30,82.961041
52,31,82.9471203
51,32,82.9345391
50,33,82.9252069
49,34,82.9191186
48,35,82.91517529
47,36,82.91412652
46,37,82.91511418
45,38,82.91755437
44,39,82.92248403
43,40,82.92924093
42,41,82.93815
41,42,82.950252
40,43,82.966377
55,29,83.985271
54,30,83.965829
53,31,83.952663
52,32,83.93757509
51,33,83.92930329
50,34,83.91846676
49,35,83.91649642
48,36,83.91149773
47,37,83.91437522
46,38,83.91341912
45,39,83.92067106
44,40,83.92332566
43,41,83.93430571
42,42,83.941846
41,43,83.959527
55,30,84.973054
54,31,84.957333
53,32,84.94296966
52,33,84.93216366
51,34,84.92226076
50,35,84.91564576
49,36,84.91252726
48,37,84.91178974
47,38,84.91293204
46,39,84.91643304
45,40,84.9214432
44,41,84.92884584
43,42,84.93826074
42,43,84.950778
41,44,84.967117
56,30,85.978463
55,31,85.963757
54,32,85.946967
53,33,85.93670153
52,34,85.92431173
51,35,85.91880543
50,36,85.91061062
49,37,85.91116744
48,38,85.90926072
47,39,85.9148861
46,40,85.91629681
45,41,85.92578154
44,42,85.93117409
43,43,85.944637
42,44,85.957305
56,31,86.969007
55,32,86.953204
54,33,86.94029172
53,34,86.92868862
52,35,86.92067402
51,36,86.91335476
50,37,86.90918053
49,38,86.90887749
48,39,86.9108761
47,40,86.91481734
46,41,86.92069247
45,42,86.9281962
44,43,86.93806719
43,44,86.950907
57,31,87.975963
56,32,87.957574
55,33,87.94584
54,34,87.93141749
53,35,87.92408329
52,36,87.91444788
51,37,87.91131559
50,38,87.90561225
49,39,87.90950127
48,40,87.91022072
47,41,87.91822648
46,42,87.92196778
45,43,87.93379421
44,44,87.941664
43,45,87.960429
57,32,88.96453
56,33,88.950048
55,34,88.93666906
54,35,88.92670456
53,36,88.91783545
52,37,88.91227814
51,38,88.90745081
50,39,88.90583816
49,40,88.90887975
48,41,88.9134447
47,42,88.91946815
46,43,88.92764865
45,44,88.93733785
44,45,88.950992
58,32,89.969436
57,33,89.955995
56,34,89.940096
55,35,89.93129285
54,36,89.91952793
53,37,89.91479756
52,38,89.90772787
51,39,89.90714175
50,40,89.90469876
49,41,89.9112592
48,42,89.91393127
47,43,89.92407392
46,44,89.93034438
45,45,89.944569
44,46,89.95737
58,33,90.960816
57,34,90.9457
56,35,90.93439862
55,36,90.92380631
54,37,90.91653726
53,38,90.91019594
52,39,90.90729805
51,40,90.90564021
50,41,90.90699026
49,42,90.91174519
48,43,90.91842497
47,44,90.92674153
46,45,90.937123
45,46,90.950435
59,33,91.967386
58,34,91.94984
57,35,91.9396316
56,36,91.92617309
55,37,91.91972848
54,38,91.91103822
53,39,91.90894575
52,40,91.90503534
51,41,91.90718858
50,42,91.90680715
49,43,91.91526978
48,44,91.92023437
47,45,91.93236769
46,46,91.94119223
45,47,91.95971
59,34,92.956135
58,35,92.94322
57,36,92.93114717
56,37,92.92203933
55,38,92.91402431
54,39,92.90957843
53,40,92.90647066
52,41,92.90637317
51,42,92.90680877
50,43,92.91024515
49,44,92.91710444
48,45,92.92591278
47,46,92.93668043
46,47,92.950188
60,34,93.96049
59,35,93.948846
58,36,93.93414045
57,37,93.92639482
56,38,93.91535564
55,39,93.91159206
54,40,93.90631252
53,41,93.907279
52,42,93.90508359
51,43,93.90965232
50,44,93.91134286
49,45,93.92173045
48,46,93.92903629
47,47,93.943744
46,48,93.956586
61,34,94.9673
60,35,94.952925
59,36,94.93971092
58,37,94.92926385
57,38,94.91935828
56,39,94.9128197
55,40,94.90804028
54,41,94.90683111
53,42,94.90583744
52,43,94.90765228
51,44,94.91040442
50,45,94.91589789
49,46,94.92488851
48,47,94.935688
47,48,94.949483
61,35,95.95898
60,36,95.94301447
59,37,95.9341334
58,38,95.92171905
57,39,95.91590931
56,40,95.90827762
55,41,95.90810159
54,42,95.90467477
53,43,95.90786668
52,44,95.90758891
51,45,95.91445171
50,46,95.91821374
49,47,95.9307439
48,48,95.940341
47,49,95.959109
62,35,96.963499
61,36,96.94908878
60,37,96.93717712
59,38,96.92637562
58,39,96.9182867
57,40,96.9109638
56,41,96.90810162
55,42,96.9060169
54,43,96.90636072
53,44,96.90754578
52,45,96.91132787
51,46,96.91647199
50,47,96.9238814
49,48,96.93479934
48,49,96.949125
63,35,97.969887
62,36,97.952635
61,37,97.94163232
60,38,97.92869264
59,39,97.92239484
58,40,97.91274045
57,41,97.91033265
56,42,97.90540361
55,43,97.90721121
54,44,97.90528671
53,45,97.91070773
52,46,97.91269834
51,47,97.92155997
50,48,97.92738932
49,49,97.942129
63,36,98.958776
62,37,98.94511919
61,38,98.9328836
60,39,98.92416084
59,40,98.91667508
58,41,98.91160938
57,42,98.9077073
56,43,98.90624968
55,44,98.90593028
54,45,98.90812124
53,46,98.91177307
52,47,98.91764577
51,48,98.92492585
50,49,98.93411
49,50,98.948495
64,36,99.962995
63,37,99.95033153
62,38,99.93578327
61,39,99.92772768
60,40,99.9180105
59,41,99.91434058
58,42,99.90746798
57,43,99.90765272
56,44,99.90421046
55,45,99.90811415
54,46,99.90852044
53,47,99.91611544
52,48,99.92034883
51,49,99.93110193
50,50,99.93864894
65,36,100.969318
64,37,100.954302
63,38,100.9406063
62,39,100.9301608
61,40,100.9214585
60,41,100.9153065
59,42,100.9103376
58,43,100.9073053
57,44,100.9055731
56,45,100.9061589
55,46,100.9082848
54,47,100.912684
53,48,100.9185862
52,49,100.926414
51,50,100.9352593
65,37,101.960008
64,38,101.9440047
63,39,101.9343285
62,40,101.9231542
61,41,101.9180904
60,42,101.9102937
59,43,101.9092072
58,44,101.9043403
57,45,101.9068343
56,46,101.9056323
55,47,101.9117045
54,48,101.9144818
53,49,101.9241059
52,50,101.9302895
51,51,101.945142
66,37,102.964401
65,38,102.949243
64,39,102.9372438
63,40,102.9272041
62,41,102.9194534
61,42,102.913092
60,43,102.909174
59,44,102.9063148
58,45,102.9054941
57,46,102.9061111
56,47,102.9089606
55,48,102.9134169
54,49,102.9198788
53,50,102.927973
52,51,102.939162
67,37,103.970531
66,38,103.953022
65,39,103.941943
64,40,103.9294492
63,41,103.9229077
62,42,103.9137474
61,43,103.9114337
60,44,103.9054253
59,45,103.9066453
58,46,103.9040304
57,47,103.9086237
56,48,103.9098562
55,49,103.9182145
54,50,103.9231052
53,51,103.936344
52,52,103.9467234
67,38,104.959001
66,39,104.945711
65,40,104.9340218
64,41,104.9249426
63,42,104.916982
62,43,104.911662
61,44,104.9077455
60,45,104.9056878
59,46,104.9050795
58,47,104.9065256
57,48,104.9094639
56,49,104.9145023
55,50,104.9212684
54,51,104.9312765
53,52,104.9433045
68,38,105.963177
67,39,105.950842
66,40,105.93693
65,41,105.9289285
64,42,105.9182732
63,43,105.9143567
62,44,105.9073282
61,45,105.9072859
60,46,105.9034803
59,47,105.9066635
58,48,105.9064598
57,49,105.9134636
56,50,105.9169574
55,51,105.928638
54,52,105.9374985
53,53,105.953516
69,38,106.969672
68,39,106.954943
67,40,106.942007
66,41,106.9315897
65,42,106.9221198
64,43,106.9154584
63,44,106.9099698
62,45,106.906748
61,46,106.9051281
60,47,106.9050915
59,48,106.906612
58,49,106.9102875
57,50,106.9157136
56,51,106.9241506
55,52,106.934882
54,53,106.946935
69,39,107.960515
68,40,107.945303
67,41,107.9360756
66,42,107.9240475
65,43,107.9184935
64,44,107.9101858
63,45,107.9087153
62,46,107.9038918
61,47,107.9059502
60,48,107.9041836
59,49,107.9096937
58,50,107.9118943
57,51,107.9222267
56,52,107.9293805
55,53,107.943348
54,54,107.9542323
70,39,108.965131
69,40,108.950907
68,41,108.939141
67,42,108.9284383
66,43,108.9202541
65,44,108.9133237
64,45,108.9087496
63,46,108.9059506
62,47,108.9047558
61,48,108.9049867
60,49,108.9071497
59,50,108.9112929
58,51,108.9181412
57,52,108.9273045
56,53,108.938086
55,54,108.950435
70,40,109.954675
69,41,109.943843
68,42,109.930718
67,43,109.9237413
66,44,109.9140385
65,45,109.9110797
64,46,109.9051729
63,47,109.9061107
62,48,109.9030075
61,49,109.9071707
60,50,109.9078448
59,51,109.9168543
58,52,109.9224581
57,53,109.9350851
56,54,109.9442588
71,40,110.960837
70,41,110.947439
69,42,110.935652
68,43,110.925899
67,44,110.9175676
66,45,110.9116432
65,46,110.9076904
64,47,110.9052968
63,48,110.9041838
62,49,110.9051072
61,50,110.9077411
60,51,110.9132182
59,52,110.9210006
58,53,110.9302692
57,54,110.94147
56,55,110.953945
72,40,111.965196
71,41,111.952689
70,42,111.938293
69,43,111.9299417
68,44,111.9188069
67,45,111.9144052
66,46,111.9073306
65,47,111.9070485
64,48,111.9027639
63,49,111.9055387
62,50,111.9048249
61,51,111.9123999
60,52,111.9167278
59,53,111.9280045
58,54,111.9355591
57,55,111.950172
73,40,112.971723
72,41,112.956833
71,42,112.943478
70,43,112.932569
69,44,112.9228467
68,45,112.9154402
67,46,112.9102619
66,47,112.9065729
65,48,112.9044081
64,49,112.9040605
63,50,112.9051759
62,51,112.9093747
61,52,112.915891
60,53,112.9236501
59,54,112.9332217
58,55,112.9444285
57,56,112.95737
73,41,113.962469
72,42,113.946666
71,43,113.93709
70,44,113.9246144
69,45,113.9187217
68,46,113.9103694
67,47,113.908823
66,48,113.903365
65,49,113.9049164
64,50,113.9027801
63,51,113.9092892
62,52,113.9120878
61,53,113.9220189
60,54,113.9279803
59,55,113.9412922
58,56,113.9507185
74,41,114.966849
73,42,114.952174
72,43,114.9401
71,44,114.929033
70,45,114.9203116
69,46,114.9136593
68,47,114.9087674
67,48,114.9054374
66,49,114.9038788
65,50,114.9033447
64,51,114.906598
63,52,114.911902
62,53,114.918048
61,54,114.9262939
60,55,114.93591
59,56,114.947482
75,41,115.972914
74,42,115.955759
73,43,115.94502
72,44,115.9312192
71,45,115.9240621
70,46,115.9142979
69,47,115.9113868
68,48,115.9047632
67,49,115.90526
66,50,115.9017428
65,51,115.9067927
64,52,115.9084656
63,53,115.9168855
62,54,115.921581
61,55,115.933395
60,56,115.941621
59,57,115.957005
75,42,116.961686
74,43,116.94832
73,44,116.936135
72,45,116.9260363
71,46,116.9179556
70,47,116.9117741
69,48,116.907226
68,49,116.9045157
67,50,116.902954
66,51,116.9048415
65,52,116.9086462
64,53,116.9136456
63,54,116.9203588
62,55,116.9286167
61,56,116.9383164
60,57,116.950326
76,42,117.965249
75,43,117.953526
74,44,117.938808
73,45,117.9303411
72,46,117.9190673
71,47,117.9145955
70,48,117.906922
69,49,117.9063567
68,50,117.9016066
67,51,117.9055322
66,52,117.9058601
65,53,117.913074
64,54,117.9161787
63,55,117.9265595
62,56,117.933226
61,57,117.946731
77,42,118.971465
76,43,118.956876
75,44,118.94409
74,45,118.932557
73,46,118.9233411
72,47,118.9155703
71,48,118.9098471
70,49,118.9058516
69,50,118.9033113
68,51,118.9039441
67,52,118.9064057
66,53,118.9100609
65,54,118.9154106
64,55,118.9223773
63,56,118.9306597
62,57,118.940934
61,58,118.952957
77,43,119.962426
76,44,119.946623
75,45,119.937069
